medicine_name,authorisation_no,pharmaceutical_form_lv,active_substance,Aizliegts ārpus sacensībām,Aizliegts sacensību laikā,Aizliegto vielu un metožu saraksta klase,Piezīmes par lietošanu,"Sporta veidi, kuros aizliegts sacensību laikā","Sporta veidi, kuros aizliegts ārpus sacensībām",Notes,Prohibited In-Competition in the following sports,Prohibited Out-of-Competition in the following sports
Extraneal šķīdums peritoneālai dialīzei,01-0401,Šķīdums peritoneālai dialīzei,"Icodextrinum, Natrii chloridum, Natrii (S)- lactatis solutio, Calcii chloridum, Magnesii chloridum",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 1,36% w/v/13,6 mg/ml šķīdums peritoneālai dialīzei",02-0082,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii chloridum, Natrii lactas, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 2,27% w/v/22,7 mg/ml šķīdums peritoneālai dialīzei",02-0083,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii chloridum, Natrii lactas, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 3,86% w/v/38,6 mg/ml šķīdums peritoneālai dialīzei",02-0084,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii lactas, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
Duosol bez kālija šķīdums hemofiltrācijai,05-0139,Šķīdums hemofiltrācijai,"Natrii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
Duosol ar 2 mmol/l kālija šķīdums hemofiltrācijai,05-0140,Šķīdums hemofiltrācijai,"Glucosum monohydricum, Natrii chloridum, Kalii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 2 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0385,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 3 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0386,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 4 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0387,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic bez kālija šķīdums hemodialīzei/hemofiltrācijai,05-0388,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
Duosol ar 4 mmol/l kālija šķīdums hemofiltrācijai,05-0486,Šķīdums hemofiltrācijai,"Glucosum monohydricum, Natrii chloridum, Kalii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Balance 1,5% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0070,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 2,3% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0071,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 4,25% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0072,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 1,5% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0073,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 2,3% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0074,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 4,25% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0075,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
Normosang 25 mg/ml koncentrāts infūziju šķīduma pagatavošanai,06-0218,Koncentrāts infūziju šķīduma pagatavošanai,Haeminum humanum,Jā,Jā,M1,,,,,,
Prismasol 2 mmol/l Kālija šķīdums hemodialīzei/hemofiltrācijai,09-0310,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum anhydricum, Acidum lacticum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum",Jā,Jā,M1,,,,,,
Prismasol 4 mmol/l Kālija šķīdums hemodialīzei/hemofiltrācijai,09-0311,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum anhydricum, Acidum lacticum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum",Jā,Jā,M1,,,,,,
"Phoxilium 1,2 mmol/l fosfātu šķīdums hemodialīzei/hemofiltrācijai",09-0359,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum, Dinatrii phosphas dihydricus",Jā,Jā,M1,,,,,,
Hemosol B0 šķīdums hemodialīzei/hemofiltrācijai,10-0446,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii hydrogenocarbonas, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Acidum lacticum",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 13,6 mg/ml šķīdums peritoneālai dialīzei",14-0250,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 22,7 mg/ml šķīdums peritoneālai dialīzei",14-0251,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 38,6 mg/ml šķīdums peritoneālai dialīzei",14-0252,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 13,6 mg/ml šķīdums peritoneālai dialīzei",14-0253,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 22,7 mg/ml šķīdums peritoneālai dialīzei",14-0254,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 38,6 mg/ml šķīdums peritoneālai dialīzei",14-0255,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
Biphozyl šķīdums hemodialīzei/hemofiltrācijai,15-0002,Šķīdums hemodialīzei/hemofiltrācijai,"Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum, Dinatrii phosphas dihydricus",Jā,Jā,M1,,,,,,
Regiocit šķīdums hemofiltrācijai,15-0023,Šķīdums hemofiltrācijai,"Natrii citras, Natrii chloridum",Jā,Jā,M1,,,,,,
Octaplasma šķīdums infūzijām,15-0256,Šķīdums infūzijām,Proteinum plasmatis humanum,Jā,Jā,M2,,,,,,
"Bicavera 1,5% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0186,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Bicavera 2,3% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0187,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Bicavera 4,25% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0188,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 1,36% w/v/13,6 mg/ml šķīdums peritoneālai dialīzei",97-0056,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Magnesii chloridum hexahydricum, Calcii chloridum dihydricum, Natrii lactas, Natrii chloridum",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 3,86% w/v/38,6 mg/ml šķīdums peritoneālai dialīzei",97-0057,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactas, Calcii chloridum dihydricum",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 2,27% w/v//22,7 mg/ml šķīdums peritoneālai dialīzei",97-0058,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii lactas",Jā,Jā,M1,,,,,,
Luminity,EU/1/06/361/001,Šķīdums dispersijām injekcijām vai infūzijām,Perflutrenum,Jā,Jā,M1,,,,,,
Luminity,EU/1/06/361/002,Šķīdums dispersijām injekcijām vai infūzijām,Perflutrenum,Jā,Jā,M1,,,,,,
Optison,EU/1/98/065/001,Dispersija injekcijām,Perflutrenum,Jā,Jā,M1,,,,,,
Optison,EU/1/98/065/002,Dispersija injekcijām,Perflutrenum,Jā,Jā,M1,,,,,,
Nebido 1000 mg/4 ml šķīdums injekcijām,05-0141,Šķīdums injekcijām,Testosteroni undecanoas,Jā,Jā,S1,,,,,,
Androgel 25 mg gels paciņā,05-0629,Gels paciņā,Testosteronum,Jā,Jā,S1,,,,,,
Androgel 50 mg gels paciņā,05-0630,Gels paciņā,Testosteronum,Jā,Jā,S1,,,,,,
Testim 50 mg transdermāls gels,12-0264,Transdermālais gels,Testosteronum,Jā,Jā,S1,,,,,,
Testarzon 20 mg/g transdermālais gels,18-0062,Transdermālais gels,Testosteronum,Jā,Jā,S1,,,,,,
Omnadren 250 mg/ml šķīdums injekcijām,97-0052,Šķīdums injekcijām,"Testosteroni propionas, Testosteroni phenylpropionas, Testosteroni isocaproas, Testosteroni decanoas",Jā,Jā,S1,,,,,,
Retabolil 50 mg/ml šķīdums injekcijām,97-0139,Šķīdums injekcijām,Nandroloni decanoas,Jā,Jā,S1,,,,,,
Sustanon 250 mg/ml šķīdums injekcijām,97-0497,Šķīdums injekcijām,"Testosteroni decanoas, Testosteroni phenylpropionas, Testosteroni isocaproas, Testosteroni propionas",Jā,Jā,S1,,,,,,
"Livial 2,5 mg tabletes",98-0299,Tabletes,Tibolonum,Jā,Jā,S1,,,,,,
Intrarosa,EU/1/17/1255/001,Pesāriji,Prasteronum,Jā,Jā,S1,,,,,,
Isturisa,EU/1/19/1407/001,Apvalkotā tablete,Osilodrostatum,Jā,Jā,S1,,,,,,
Isturisa,EU/1/19/1407/002,Apvalkotā tablete,Osilodrostatum,Jā,Jā,S1,,,,,,
Isturisa,EU/1/19/1407/003,Apvalkotā tablete,Osilodrostatum,Jā,Jā,S1,,,,,,
AndroGel 25 mg gels paciņā,I000539,Gels paciņā,Testosteronum,Jā,Jā,S1,,,,,,
Testim 50 mg gels,I000598,Gels,Testosteronum,Jā,Jā,S1,,,,,,
Genotropin 12 mg pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,00-0136,Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,Somatropinum,Jā,Jā,S2,,,,,,
Saizen 8 mg click.easy pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,02-0183,Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,Somatropinum,Jā,Jā,S2,,,,,,
Zomacton 10 mg pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,10-0011,Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,Somatropinum,Jā,Jā,S2,,,,,,
"Saizen 5,83 mg/ml šķīdums injekcijām",11-0024,Šķīdums injekcijām,Somatropinum,Jā,Jā,S2,,,,,,
Saizen 8 mg/ml šķīdums injekcijām,11-0025,Šķīdums injekcijām,Somatropinum,Jā,Jā,S2,,,,,,
Pediaven G15% šķīdums infūzijām,14-0247,Šķīdums infūzijām,"Alaninum, Argininum, Acidum asparticum, Acetylcysteinum, Acidum glutamicum, Glycinum, Histidinum, Isoleucinum, Leucinum, Lysini monohydricum, Methioninum, Phenylalaninum, Prolinum, Serinum, Taurinum, Threoninum, Tryptophanum, Tyrosinum, Valinum, Dikalii phosphas, Glucosum monohydricum, Calcii gluconas monohydricus, Magnesii lactas dihydricus, Natrii chloridum, Kalii chloridum, Zinci acetas dihydricus, Cupri sulfas pentahydricus, Natrii fluoridum, Selenii dioxidum, Mangani chloridum tetrahydricus, Kalii iodidum, Chromii chloridum hexahydricum, Ferri sulfas heptahydricum, Cobalti chloridum hexahydricum, Ammonii molybdas tetrahydricus",Jā,Jā,S2,Aizliegtā viela - kobalts,,,Cobalt is the prohibited substance,,
Pediaven G20% šķīdums infūzijām,14-0248,Šķīdums infūzijām,"Alaninum, Argininum, Acidum asparticum, Acetylcysteinum, Acidum glutamicum, Glycinum, Histidinum, Isoleucinum, Leucinum, Lysini monohydricum, Methioninum, Phenylalaninum, Prolinum, Serinum, Taurinum, Threoninum, Tryptophanum, Tyrosinum, Valinum, Dikalii phosphas, Glucosum monohydricum, Calcii gluconas monohydricus, Magnesii lactas dihydricus, Natrii chloridum, Kalii chloridum, Zinci acetas dihydricus, Cupri sulfas pentahydricus, Natrii fluoridum, Selenii dioxidum, Mangani chloridum tetrahydricus, Kalii iodidum, Chromii chloridum hexahydricum, Ferri sulfas heptahydricum, Cobalti chloridum hexahydricum, Ammonii molybdas tetrahydricus",Jā,Jā,S2,Aizliegtā viela - kobalts,,,Cobalt is the prohibited substance,,
Pediaven G25% šķīdums infūzijām,14-0249,Šķīdums infūzijām,"Alaninum, Argininum, Acidum asparticum, Acetylcysteinum, Acidum glutamicum, Glycinum, Histidinum, Isoleucinum, Leucinum, Lysini monohydricum, Methioninum, Phenylalaninum, Prolinum, Serinum, Taurinum, Threoninum, Tryptophanum, Tyrosinum, Valinum, Dikalii phosphas, Glucosum monohydricum, Calcii gluconas monohydricus, Magnesii lactas dihydricus, Natrii chloridum, Kalii chloridum, Zinci acetas dihydricus, Cupri sulfas pentahydricus, Natrii fluoridum, Selenii dioxidum, Mangani chloridum tetrahydricus, Kalii iodidum, Chromii chloridum hexahydricum, Ferri sulfas heptahydricum, Cobalti chloridum hexahydricum, Ammonii molybdas tetrahydricus",Jā,Jā,S2,Aizliegtā viela - kobalts,,,Cobalt is the prohibited substance,,
Zomacton 4 mg pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,97-0643,Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,Somatropinum,Jā,Jā,S2,,,,,,
"Genotropin 5,3 mg pulveris un šķīdinātājs injekciju šķīduma pagatavošanai",99-1014,Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,Somatropinum,Jā,Jā,S2,,,,,,
NutropinAq,EU/1/00/164/003,Šķīdums injekcijām,Somatropinum,Jā,Jā,S2,,,,,,
NutropinAq,EU/1/00/164/004,Šķīdums injekcijām,Somatropinum,Jā,Jā,S2,,,,,,
NutropinAq,EU/1/00/164/005,Šķīdums injekcijām,Somatropinum,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/001,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/002,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/003,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/004,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/005,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/006,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/007,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/008,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/009,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/010,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/011,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/012,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/013,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/014,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/015,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/016,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/017,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/018,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/019,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/020,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/021,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/022,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/031,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/032,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/033,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/034,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/035,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/036,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/037,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/038,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/039,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/040,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/041,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/042,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/043,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/044,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/045,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/046,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/047,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/048,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/049,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/050,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/051,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/052,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/053,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/054,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/055,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/056,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/057,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/058,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/059,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/060,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/061,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/062,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/063,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/064,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/065,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/066,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/067,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/068,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/069,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/070,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/071,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/072,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/073,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/074,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/075,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/076,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/077,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/078,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/079,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/080,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/081,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/082,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/083,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/084,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/085,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/086,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/087,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/088,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/089,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/090,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/091,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/092,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/093,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/094,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/095,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
Aranesp,EU/1/01/185/096,Šķīdums injekcijām,Darbepoetinum alfa,Jā,Jā,S2,,,,,,
